         7772742 function calls (7770539 primitive calls) in 7.887 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       12    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
      216    0.000    0.000    0.000    0.000 typing.py:1293(<genexpr>)
      458    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       18    0.000    0.000    0.000    0.000 enum.py:1562(__and__)
        2    0.000    0.000    0.000    0.000 typing.py:2854(__new__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       24    0.000    0.000    0.000    0.000 inspect.py:2998(__init__)
      229    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
      146    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
      610    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        5    0.000    0.000    0.000    0.000 typing.py:1966(__init_subclass__)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2737(extend_all)
      179    0.000    0.000    0.000    0.000 _parser.py:261(get)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
      392    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       93    0.000    0.000    0.000    0.000 enum.py:726(__call__)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        2    0.000    0.000    0.000    0.000 function_base.py:27(linspace)
       13    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
      108    0.000    0.000    0.000    0.000 __init__.py:28(decorator)
      264    0.000    0.000    0.000    0.000 overrides.py:108(array_function_dispatch)
      280    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 numbers.py:319(Integral)
       42    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      309    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        5    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
